0,1,2,3,4
"[0, 0.1192343897081895]","[0, 0.1144278606965174]","[0, 0.42857142857142855]","[0, 0.14285714285714285]",
"[0, 0.03263256981487292]","[0, 0.06965174129353234]","[0.07936507936507936, 1]","[0.1, 1]",
"[0, 0.07593347976153121]","[0, 0.03980099502487562]","[0, 0.42857142857142855]","[0, 0.15873015873015872]",
"[0, 0.021650454973329146]","[0.009950248756218905, 1]","[0.2857142857142857, 1]","[0, 0.30000000000000004]",
"[0, 0.1816755569501098]","[0, 0.06965174129353234]","[0, 0.5714285714285714]","[0, 0.2222222222222222]",
"[0, 0.047693755883275804]","[0, 0.04975124378109452]","[0.14285714285714285, 1]","[0, 0.15873015873015872]",
"[0, 0.16128020081581423]","[0, 0.2935323383084577]","[0.14285714285714285, 1]","[0, 0.1349206349206349]",
"[0, 0.08817069344210855]","[0, 0.42857142857142855]","[0, 0.3412698412698413]",,
"[0.009099466582993411, 1]","[0.004975124378109453, 1]","[0, 0.10317460317460317]","[0, 0.30000000000000004]",
"[0, 0.03451521807342328]","[0, 0.07462686567164178]","[0, 0.16666666666666666]","[0.1, 1]",
"[0, 0.06808911201757137]","[0, 0.3034825870646766]","[0.14285714285714285, 1]","[0, 0.20634920634920634]","[0.1, 1]"
"[0, 0.03796673988076561]","[0.009950248756218905, 1]","[0.14285714285714285, 1]","[0, 0.2]",
"[0, 0.12864763100094131]","[0, 0.24875621890547264]","[0.14285714285714285, 1]","[0, 0.30952380952380953]",
"[0, 0.05051772827110135]","[0, 0.03980099502487562]","[0.14285714285714285, 1]","[0, 0.18253968253968253]",
"[0.0021964229683087543, 1]","[0.01990049751243781, 1]","[0.14285714285714285, 1]","[0, 0.06349206349206349]","[0.0, 1]"
"[0, 0.14747411358644494]","[0, 0.08955223880597014]","[0.2857142857142857, 1]","[0, 0.24603174603174602]",
"[0, 0.30593034201443364]","[0, 0.13432835820895522]","[0.2857142857142857, 1]","[0, 0.30952380952380953]",
"[0, 0.13304047693755883]","[0, 0.08955223880597014]","[0, 0.5714285714285714]","[0, 0.3333333333333333]",
"[0, 0.1393159711327267]","[0, 0.03980099502487562]","[0, 0.2857142857142857]","[0, 0.18253968253968253]",
"[0, 0.08001255098839033]","[0, 0.12437810945273632]","[0.14285714285714285, 1]","[0, 0.1746031746031746]",
"[0, 0.13555067461562598]","[0, 0.12935323383084577]","[0, 0.42857142857142855]","[0, 0.31746031746031744]",
"[0, 0.04424223407593348]","[0.07936507936507936, 1]","[0, 0.30000000000000004]",,
"[0, 0.046438657044242236]","[0, 0.42857142857142855]","[0, 0.18253968253968253]",,
"[0, 0.26106055851898335]","[0, 0.3582089552238806]","[0.14285714285714285, 1]","[0, 0.3968253968253968]",
"[0, 0.05647944775651082]","[0, 0.1044776119402985]","[0.14285714285714285, 1]","[0, 0.0873015873015873]",
"[0, 0.10919359899592092]","[0, 0.24875621890547264]","[0, 0.2857142857142857]","[0, 0.18253968253968253]",
"[0, 0.20363978663319737]","[0, 0.23880597014925373]","[0.14285714285714285, 1]","[0, 0.5634920634920635]",
"[0, 0.3031063696266081]","[0, 0.38308457711442784]","[0.14285714285714285, 1]","[0, 0.19047619047619047]",
"[0, 0.10919359899592092]","[0.04975124378109452, 1]","[0.2857142857142857, 1]","[0, 0.30000000000000004]",
"[0, 0.37056793222466267]","[0, 0.05970149253731343]","[0, 0.2857142857142857]","[0, 0.2936507936507936]",
"[0, 0.12896140571069972]","[0, 0.42857142857142855]","[0, 0.15079365079365079]",,
"[0, 0.8776278631942265]","[0, 0.23880597014925373]","[0, 0.42857142857142855]","[0, 0.4126984126984127]",
"[0, 0.0859742704737998]","[0.05472636815920398, 1]","[0.14285714285714285, 1]","[0, 0.30000000000000004]",
"[0, 0.4960778161280201]","[0, 0.21890547263681592]","[0.14285714285714285, 1]","[0, 0.4206349206349206]",
"[0, 0.04926262943206777]","[0, 0.1691542288557214]","[0.14285714285714285, 1]","[0, 0.1349206349206349]",
"[0, 0.20112958895513022]","[0, 0.21393034825870647]","[0.14285714285714285, 1]","[0, 0.32539682539682535]",
"[0, 0.26953247568245997]","[0, 0.35323383084577115]","[0, 0.42857142857142855]","[0, 0.38095238095238093]",
"[0, 0.09727016002510197]","[0, 0.16417910447761194]","[0.14285714285714285, 1]","[0, 0.373015873015873]",
"[0, 0.024788202070913083]","[0.029850746268656716, 1]","[0.14285714285714285, 1]","[0.03968253968253968, 1]",
"[0, 0.01819893316598682]","[0, 0.04477611940298507]","[0.2857142857142857, 1]","[0, 0.1349206349206349]",
"[0.009727016002510198, 1]","[0.04975124378109452, 1]","[0, 0.1984126984126984]","[0, 0.2]",
"[0, 0.050203953561342954]","[0, 0.1044776119402985]","[0.14285714285714285, 1]","[0, 0.20634920634920634]",
"[0, 0.02070913084405397]","[0.014925373134328358, 1]","[0.2857142857142857, 1]","[0, 0.2]",
"[0.009413241292751805, 1]","[0.0, 1]","[0.0, 1]","[0.0, 1]","[0.1, 1]"
"[0, 0.1346093504863508]","[0.0, 1]","[0.0, 1]","[0.0, 1]",
"[0, 0.03608409162221525]","[0, 0.5572139303482587]","[0.14285714285714285, 1]","[0, 0.26190476190476186]",
"[0, 0.03326011923438971]","[0.023809523809523808, 1]","[0, 0.4]",,
"[0, 0.1732036397866332]","[0.03980099502487562, 1]","[0.14285714285714285, 1]","[0, 0.6000000000000001]",
"[0, 0.029494822717288986]","[0.01990049751243781, 1]","[0.14285714285714285, 1]","[0.007936507936507936, 1]",
"[0.008471917163476624, 1]","[0.004975124378109453, 1]","[0.06349206349206349, 1]","[0, 0.2]",
"[0.00627549419516787, 1]","[0.004975124378109453, 1]","[0, 0.1111111111111111]","[0, 0.5]",
"[0.009099466582993411, 1]","[0.029850746268656716, 1]","[0.007936507936507936, 1]","[0.0, 1]",
"[0.012237213680577345, 1]","[0.004975124378109453, 1]","[0.03968253968253968, 1]","[0.0, 1]",
"[0, 0.17602761217445873]","[0.029850746268656716, 1]","[0.03968253968253968, 1]","[0.0, 1]",
"[0, 0.08722936931283337]","[0.015873015873015872, 1]","[0, 0.30000000000000004]",,
"[0.032318795105114526, 1]","[0.03482587064676617, 1]","[0.047619047619047616, 1]","[0, 0.2]",
"[0, 0.023846877941637902]","[0.004975124378109453, 1]","[0.14285714285714285, 1]","[0.023809523809523808, 1]","[0.1, 1]"
"[0.014747411358644491, 1]","[0.01990049751243781, 1]","[0.0, 1]","[0.1, 1]",
"[0, 0.07373705679322246]","[0.023809523809523808, 1]","[0, 0.2]",,
"[0, 0.08973956699090052]","[0.023809523809523808, 1]","[0, 0.30000000000000004]",,
"[0.002510197678067148, 1]","[0.07960199004975124, 1]","[0.015873015873015872, 1]","[0, 0.2]",
"[0, 0.09852525886413555]","[0.031746031746031744, 1]","[0, 0.2]",,
"[0, 0.1245685597740822]","[0, 0.23383084577114427]","[0.007936507936507936, 1]","[0.0, 1]",
"[0, 0.019454032005020393]","[0, 0.12437810945273632]","[0.031746031746031744, 1]","[0.1, 1]",
"[0.008785691873235017, 1]","[0.004975124378109453, 1]","[0, 0.36507936507936506]","[0, 0.30000000000000004]",
"[0, 0.05522434891747725]","[0.03968253968253968, 1]","[0, 0.2]",,
"[0, 0.13209915280828366]","[0, 0.1791044776119403]","[0.015873015873015872, 1]","[0.0, 1]",
"[0.03137747097583935, 1]","[0.04975124378109452, 1]","[0, 0.05555555555555555]","[0.0, 1]",
"[0, 0.1396297458424851]","[0, 0.25870646766169153]","[0, 0.5714285714285714]","[0, 0.07936507936507936]",
"[0, 0.03702541575149043]","[0.015873015873015872, 1]","[0, 0.30000000000000004]",,
"[0, 0.03922183871979919]","[0.015873015873015872, 1]","[0, 0.4]",,
"[0, 0.031063696266080954]","[0, 0.07960199004975124]","[0.03968253968253968, 1]","[0.0, 1]",
"[0, 0.01819893316598682]","[0.023809523809523808, 1]","[0, 0.2]",,
"[0, 0.18010668340131786]","[0.023809523809523808, 1]","[0, 0.30000000000000004]",,
"[0.014119861939127704, 1]","[0.01990049751243781, 1]","[0.031746031746031744, 1]","[0.1, 1]",
"[0, 0.20677753373078128]","[0, 0.16417910447761194]","[0, 0.12698412698412698]","[0.1, 1]",
"[0, 0.08064010040790712]","[0.031746031746031744, 1]","[0, 0.2]",,
"[0, 0.0480075305930342]","[0, 0.0945273631840796]","[0.023809523809523808, 1]","[0.1, 1]",
"[0.015688735487919672, 1]","[0, 0.03980099502487562]","[0.007936507936507936, 1]","[0.0, 1]",
"[0.014433636648886097, 1]","[0, 0.05472636815920398]","[0.031746031746031744, 1]",,
"[0, 0.039535613429557574]","[0.004975124378109453, 1]","[0.14285714285714285, 1]","[0.023809523809523808, 1]",
"[0, 0.04235958581738312]","[0.009950248756218905, 1]","[0.2857142857142857, 1]","[0.015873015873015872, 1]",
"[0, 0.12739253216190774]","[0, 0.06965174129353234]","[0.023809523809523808, 1]","[0.0, 1]",
"[0, 0.0859742704737998]","[0, 0.0945273631840796]","[0.015873015873015872, 1]","[0.0, 1]",
"[0, 0.02008158142453718]","[0.029850746268656716, 1]","[0.015873015873015872, 1]","[0.0, 1]",
"[0, 0.10668340131785377]","[0, 0.17412935323383083]","[0.015873015873015872, 1]","[0.0, 1]",
"[0, 0.04926262943206777]","[0, 0.03980099502487562]","[0.015873015873015872, 1]","[0.0, 1]",
"[0, 0.018826482585503606]","[0.007936507936507936, 1]","[0, 0.2]",,
"[0, 0.02290555381236272]","[0, 0.04477611940298507]","[0.03968253968253968, 1]","[0.1, 1]",
"[0, 0.036397866331973644]","[0.023809523809523808, 1]","[0, 0.30000000000000004]",,
"[0, 0.06275494195167869]","[0, 0.08955223880597014]","[0.007936507936507936, 1]","[0.1, 1]",
"[0, 0.0762472544712896]","[0.03980099502487562, 1]","[0.031746031746031744, 1]","[0.1, 1]",
"[0, 0.024788202070913083]","[0.01990049751243781, 1]","[0.03968253968253968, 1]","[0.0, 1]",
"[0, 0.1245685597740822]","[0.02487562189054726, 1]","[0.007936507936507936, 1]","[0.0, 1]",
"[0, 0.05522434891747725]","[0, 0.07462686567164178]","[0.015873015873015872, 1]","[0.1, 1]",
"[0, 0.0762472544712896]","[0, 0.1791044776119403]","[0.03968253968253968, 1]","[0.1, 1]",
"[0.011295889551302164, 1]","[0.004975124378109453, 1]","[0, 0.4365079365079365]","[0, 0.5]",
"[0, 0.029494822717288986]","[0.01990049751243781, 1]","[0.023809523809523808, 1]","[0.0, 1]",
"[0, 0.06369626608095387]","[0.015873015873015872, 1]","[0, 0.30000000000000004]",,
"[0, 0.021336680263570756]","[0, 0.06467661691542288]","[0.007936507936507936, 1]","[0.1, 1]",
"[0, 0.14182616881079385]","[0.029850746268656716, 1]","[0.03968253968253968, 1]","[0.1, 1]",
"[0, 0.15720112958895513]","[0.03968253968253968, 1]","[0, 0.30000000000000004]",,
"[0, 0.02729839974898023]","[0, 0.08955223880597014]","[0.007936507936507936, 1]","[0.0, 1]",
"[0, 0.07875745214935675]","[0, 0.14427860696517414]","[0.03968253968253968, 1]","[0.1, 1]",
"[0.01380608722936931, 1]","[0.009950248756218905, 1]","[0.015873015873015872, 1]","[0, 0.2]",
"[0, 0.038908064010040794]","[0.031746031746031744, 1]","[0, 0.30000000000000004]",,
"[0.005334170065892689, 1]","[0.014925373134328358, 1]","[0.015873015873015872, 1]","[0, 0.2]",
"[0.013178537809852526, 1]","[0.03482587064676617, 1]","[0.007936507936507936, 1]","[0.1, 1]",
"[0.0034515218073423283, 1]","[0.05970149253731343, 1]","[0.031746031746031744, 1]","[0.0, 1]",
"[0, 0.49576404141826164]","[0.03968253968253968, 1]","[0, 0.30000000000000004]",,
"[0, 0.1440225917791026]","[0.023809523809523808, 1]","[0, 0.30000000000000004]",,
"[0.014433636648886097, 1]","[0.04477611940298507, 1]","[0.007936507936507936, 1]","[0, 0.2]",
"[0.004392845936617508, 1]","[0.01990049751243781, 1]","[0.007936507936507936, 1]","[0.0, 1]",
"[0, 0.037339190461248825]","[0, 0.07960199004975124]","[0.015873015873015872, 1]","[0.1, 1]",
"[0, 0.10605585189833698]","[0, 0.04975124378109452]","[0, 0.06349206349206349]","[0.0, 1]",
"[0, 0.05553812362723564]","[0, 0.1990049751243781]","[0.031746031746031744, 1]","[0.0, 1]",
"[0, 0.03984938813931597]","[0, 0.12935323383084577]","[0.015873015873015872, 1]","[0.1, 1]",
"[0, 0.13366802635707561]","[0.007936507936507936, 1]","[0, 0.2]",,
"[0.01098211484154377, 1]","[0.03980099502487562, 1]","[0.023809523809523808, 1]","[0.0, 1]",
"[0, 0.04424223407593348]","[0, 0.03980099502487562]","[0.031746031746031744, 1]","[0.1, 1]",
"[0.015061186068402885, 1]","[0.05472636815920398, 1]","[0.03968253968253968, 1]","[0.1, 1]",
"[0.02447442736115469, 1]","[0.02487562189054726, 1]","[0.03968253968253968, 1]","[0.1, 1]",
"[0, 0.023219328522121115]","[0.03482587064676617, 1]","[0.023809523809523808, 1]","[0.1, 1]",
"[0.015688735487919672, 1]","[0.04477611940298507, 1]","[0.023809523809523808, 1]","[0.0, 1]",
"[0, 0.03137747097583935]","[0, 0.04477611940298507]","[0.031746031746031744, 1]","[0.1, 1]",
"[0, 0.0960150611860684]","[0.007936507936507936, 1]","[0, 0.30000000000000004]",,
"[0, 0.0530279259491685]","[0, 0.03980099502487562]","[0, 0.5714285714285714]","[0, 0.05555555555555555]",
"[0, 0.318167555695011]","[0.03968253968253968, 1]","[0, 0.30000000000000004]",,
"[0, 0.022278004392845933]","[0.029850746268656716, 1]","[0.015873015873015872, 1]","[0.0, 1]",
"[0, 0.11797929086915593]","[0.031746031746031744, 1]","[0, 0.5]",,
"[0, 0.0335738939441481]","[0.014925373134328358, 1]","[0.023809523809523808, 1]","[0.0, 1]",
"[0.007530593034201443, 1]","[0.004975124378109453, 1]","[0.015873015873015872, 1]","[0.0, 1]",
"[0, 0.04267336052714151]","[0.03968253968253968, 1]","[0, 0.2]",,
"[0, 0.06777533730781297]","[0.01990049751243781, 1]","[0.023809523809523808, 1]","[0.1, 1]",
"[0.006589268904926262, 1]","[0, 0.07462686567164178]","[0.023809523809523808, 1]",,
"[0, 0.02447442736115469]","[0.004975124378109453, 1]","[0.015873015873015872, 1]","[0.0, 1]",
"[0.005647944775651083, 1]","[0.02487562189054726, 1]","[0.0, 1]","[0.0, 1]",
"[0, 0.03451521807342328]","[0.03968253968253968, 1]","[0, 0.2]",,
"[0.006903043614684656, 1]","[0.014925373134328358, 1]","[0.023809523809523808, 1]","[0.0, 1]",
"[0, 0.03514276749294007]","[0.009950248756218905, 1]","[0.14285714285714285, 1]","[0, 0.2]",
"[0, 0.1101349231251961]","[0, 0.1144278606965174]","[0.007936507936507936, 1]","[0.1, 1]",
"[0, 0.1499843112645121]","[0.03968253968253968, 1]","[0, 0.6000000000000001]",,
"[0, 0.038908064010040794]","[0, 0.08955223880597014]","[0.007936507936507936, 1]","[0.0, 1]",
"[0.02447442736115469, 1]","[0.009950248756218905, 1]","[0.007936507936507936, 1]","[0.0, 1]",
"[0, 0.036397866331973644]","[0.03482587064676617, 1]","[0.023809523809523808, 1]","[0.1, 1]",
"[0.0072168183244430495, 1]","[0.004975124378109453, 1]","[0.023809523809523808, 1]","[0.0, 1]",
"[0.011923438970818951, 1]","[0.014925373134328358, 1]","[0.14285714285714285, 1]","[0.023809523809523808, 1]","[0.0, 1]"
"[0, 0.1346093504863508]","[0.007936507936507936, 1]","[0, 0.5]",,
"[0, 0.026043300909946655]","[0.007936507936507936, 1]","[0, 0.2]",,
"[0, 0.025101976780671477]","[0, 0.04477611940298507]","[0.023809523809523808, 1]","[0.1, 1]",
"[0, 0.02823972387825541]","[0.023809523809523808, 1]","[0, 0.30000000000000004]",,
"[0, 0.02070913084405397]","[0, 0.06965174129353234]","[0.007936507936507936, 1]","[0.0, 1]",
"[0, 0.040476937558832755]","[0.03482587064676617, 1]","[0.2857142857142857, 1]","[0.023809523809523808, 1]",
"[0.009727016002510198, 1]","[0.014925373134328358, 1]","[0.14285714285714285, 1]","[0.023809523809523808, 1]","[0.1, 1]"
"[0, 0.023846877941637902]","[0, 0.07462686567164178]","[0.015873015873015872, 1]","[0.0, 1]",
"[0, 0.16975211797929088]","[0, 0.1890547263681592]","[0.14285714285714285, 1]","[0, 0.14285714285714285]",
"[0, 0.06275494195167869]","[0.01990049751243781, 1]","[0.14285714285714285, 1]","[0.031746031746031744, 1]","[0.0, 1]"
"[0, 0.018826482585503606]","[0, 0.0845771144278607]","[0.2857142857142857, 1]","[0, 0.06349206349206349]","[0.0, 1]"
"[0, 0.05804832130530279]","[0.03482587064676617, 1]","[0.06349206349206349, 1]","[0.0, 1]",
"[0, 0.3332287417634138]","[0.009950248756218905, 1]","[0, 0.3333333333333333]","[0.1, 1]",
"[0, 0.3777847505491057]","[0.009950248756218905, 1]","[0, 0.2698412698412698]","[0.1, 1]",
"[0, 0.1101349231251961]","[0, 0.30845771144278605]","[0.14285714285714285, 1]","[0, 0.21428571428571427]","[0.1, 1]"
"[0.0, 1]","[0.014925373134328358, 1]","[0.0, 1]","[0.0, 1]",
"[0.008785691873235017, 1]","[0, 0.21890547263681592]","[0.14285714285714285, 1]","[0, 0.30000000000000004]",
"[0, 0.10229055538123626]","[0.03968253968253968, 1]","[0, 0.2]",,
"[0, 0.0906808911201757]","[0.02487562189054726, 1]","[0.14285714285714285, 1]","[0, 0.4]",
"[0, 0.0762472544712896]","[0, 0.14427860696517414]","[0.023809523809523808, 1]","[0.1, 1]",
