,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,effort
1283,4.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,5.0,9.0,0.31,1.0,61.0,3.0,0.0,25.0,2.0,3.30769230769231,0.0,1.0,1.0,0.294117647058824,0.1,0.0,1.0,0.0,4.686539494391795e-05
741,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.0,2.0,26.0,0.55,0.0,90.0,3.0,3.0,24.0,1.0,10.6296296296296,0.0,0.0,1.0,0.2,0.1,0.0,1.0,3.0,4.254139556469916e-05
745,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.33,5.0,66.0,3.0,0.0,24.0,1.0,4.0,0.0,5.0,1.0,0.0,0.0,0.0,5.0,1.0,9.905189727621444e-05
747,3.0,0.0,1.0,0.0,2.0,4.0,2.0,1.0,0.0,11.0,0.42,4.0,0.0,3.0,1.0,24.0,2.0,2.53333333333333,0.0,1.0,1.0,0.444444444444444,0.1,0.0,6.0,2.0,0.0004990148028142238
1288,0.0,1.0,1.0,1.0,6.0,2.0,2.0,0.0,3.0,24.0,0.17,6.0,88.0,4.0,0.0,27.0,2.0,5.68,0.0,1.0,1.0,0.321428571428571,0.1,0.0,1.0,1.0,2.2967295193021542e-05
753,0.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,3.0,19.0,0.18,3.0,60.0,3.0,0.0,26.0,2.0,3.68421052631579,0.0,1.0,1.0,0.0,0.1,0.0,7.0,3.0,8.58545104738262e-05
754,0.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0,14.0,9.0,0.16,3.0,25.0,4.0,0.0,27.0,2.0,3.33333333333333,0.0,1.0,1.0,0.4,0.0,0.0,5.0,4.0,0.00018473834726617788
1292,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.42,8.0,0.0,3.0,0.0,20.0,1.0,6.0,6.0,19.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0002990118244557971
766,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,52.0,1.27,0.0,0.0,4.0,1.0,30.0,0.0,0.596153846153846,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.000326051781115666
1297,4.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,5.0,16.0,0.18,1.0,56.0,2.0,0.0,19.0,1.0,3.5,0.0,1.0,1.0,0.416666666666667,1.0,1.0,5.0,2.0,0.0006463269164453944
1299,8.0,0.0,1.0,5.0,0.0,1.0,3.0,1.0,7.0,16.0,0.3,0.0,87.0,3.0,0.0,17.0,2.0,2.68,11.0,0.0,1.0,0.551724137931034,0.1,0.0,1.0,1.0,0.00724033032865834
776,2.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,12.0,27.0,0.39,0.0,87.0,3.0,11.0,6.0,1.0,12.1290322580645,1.0,0.0,1.0,0.735294117647059,0.1,0.0,1.0,1.0,2.407332497422754e-05
1302,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.23,1.0,0.0,3.0,0.0,13.0,1.0,0.625,0.0,2.0,1.0,1.5,0.0,0.0,2.0,1.0,0.0005104519966160348
782,1.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,10.0,25.0,0.23,2.0,66.0,3.0,0.0,22.0,1.0,1.92307692307692,0.0,0.0,1.0,3.0,0.1,0.0,3.0,3.0,0.00042650983097491935
786,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.69,4.0,0.0,3.0,0.0,18.0,1.0,6.0,6.0,17.0,2.0,1.0,0.1,0.0,4.0,1.0,0.0007169951851402345
790,3.0,0.0,1.0,1.0,0.0,5.0,2.0,0.0,1.0,4.0,0.4,1.0,83.0,3.0,0.0,16.0,2.0,3.71428571428571,1.0,3.0,1.0,2.1,0.1,0.0,1.0,1.0,2.2152499079441945e-05
1307,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.28,3.0,0.0,2.0,0.0,6.0,1.0,1.0,1.0,12.0,1.0,0.6,0.5,0.0,2.0,0.0,0.0022162395145615132
1312,0.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,0.21,2.0,40.0,3.0,0.0,4.0,1.0,2.5,0.0,0.0,1.0,1.58333333333333,0.1,0.0,2.0,0.0,0.00023815004673766182
